Iteration,CountS,CountE,CountI,CountR
262,3087,379,964,15570
263,3065,369,955,15611
264,3050,353,915,15682
265,3024,341,895,15740
266,3008,331,877,15784
267,2996,331,828,15845
268,3000,307,791,15902
269,3009,305,761,15925
270,3006,287,762,15945
271,3008,288,726,15978
272,3014,279,722,15985
273,3022,272,688,16018
274,3030,257,666,16047
275,3046,262,633,16059
276,3064,261,623,16052
277,3072,251,610,16067
278,3093,247,578,16082
279,3138,230,564,16068
280,3146,231,538,16085
281,3181,230,537,16052
282,3198,227,517,16058
283,3251,219,515,16015
284,3265,216,510,16009
285,3293,211,492,16004
286,3323,208,505,15964
287,3350,212,480,15958
288,3389,201,472,15938
289,3415,190,458,15937
290,3464,176,455,15905
291,3500,166,447,15887
292,3526,166,451,15857
293,3559,182,430,15829
294,3603,172,436,15789
295,3645,160,427,15768
296,3682,153,410,15755
297,3713,172,395,15720
298,3756,170,369,15705
299,3781,160,363,15696
300,3816,168,343,15673
301,3835,170,342,15653
302,3864,168,320,15648
303,3899,171,326,15604
304,3938,162,331,15569
305,3963,161,336,15540
306,4011,156,340,15493
307,4048,150,339,15463
308,4084,163,335,15418
309,4110,177,331,15382
310,4141,164,349,15346
311,4168,159,370,15303
312,4208,157,370,15265
313,4229,168,361,15242
314,4260,179,371,15190
315,4299,172,363,15166
316,4326,184,355,15135
317,4360,178,359,15103
318,4388,183,357,15072
319,4409,190,353,15048
320,4447,188,344,15021
321,4472,179,347,15002
322,4486,195,351,14968
323,4507,193,359,14941
324,4537,197,365,14901
325,4558,200,370,14872
326,4596,187,381,14836
327,4612,196,382,14810
328,4622,217,380,14781
329,4649,197,407,14747
330,4665,202,405,14728
331,4694,213,387,14706
332,4717,211,390,14682
333,4722,218,392,14668
334,4725,209,412,14654
335,4720,210,420,14650
336,4725,226,407,14642
337,4729,238,414,14619
338,4741,222,433,14604
339,4753,234,441,14572
340,4746,254,441,14559
341,4768,254,453,14525
342,4769,259,467,14505
343,4770,259,477,14494
344,4767,260,497,14476
345,4765,279,496,14460
346,4778,267,514,14441
347,4764,278,527,14431
348,4775,269,537,14419
349,4801,279,544,14376
350,4785,290,556,14369
351,4777,310,545,14368
352,4752,311,566,14371
353,4740,307,574,14379
354,4759,284,596,14361
355,4750,281,614,14355
356,4719,300,622,14359
357,4702,310,614,14374
358,4676,323,626,14375
359,4658,309,648,14385
360,4650,329,641,14380
361,4640,353,630,14377
362,4595,388,641,14376
363,4597,368,670,14365
364,4558,377,674,14391
365,4545,384,695,14376
366,4509,392,707,14392
367,4480,408,715,14397
368,4446,409,737,14408
369,4435,383,756,14426
370,4393,386,777,14444
371,4358,399,771,14472
372,4324,421,776,14479
373,4280,415,785,14520
374,4276,393,804,14527
375,4271,370,818,14541
376,4246,391,794,14569
377,4230,385,815,14570
378,4197,392,792,14619
379,4190,392,787,14631
380,4182,377,804,14637
381,4174,381,787,14658
382,4150,390,798,14662
383,4119,401,801,14679
384,4092,392,806,14710
385,4088,376,814,14722
386,4070,360,824,14746
387,4037,351,829,14783
388,4016,377,816,14791
389,3983,364,842,14811
390,3973,386,802,14839
391,3958,391,808,14843
392,3909,413,797,14881
393,3880,408,798,14914
394,3867,400,800,14933
395,3887,389,798,14926
396,3876,376,800,14948
397,3857,382,796,14965
398,3826,405,798,14971
399,3824,393,801,14982
400,3826,395,795,14984
401,3823,365,820,14992
402,3794,377,795,15034
403,3766,396,777,15061
404,3791,376,779,15054
405,3804,351,791,15054
406,3756,370,775,15099
407,3767,348,776,15109
408,3752,341,780,15127
409,3754,324,760,15162
410,3771,319,735,15175
411,3751,325,712,15212
412,3763,334,682,15221
413,3787,330,663,15220
414,3808,318,673,15201
415,3788,327,661,15224
416,3785,327,662,15226
417,3785,330,653,15232
418,3800,319,681,15200
419,3796,310,682,15212
420,3798,301,670,15231
421,3789,325,663,15223
422,3800,315,647,15238
423,3810,326,647,15217
424,3814,317,652,15217
425,3862,295,648,15195
426,3880,308,621,15191
427,3918,287,632,15163
428,3937,281,637,15145
429,3947,292,628,15133
430,3995,288,611,15106
431,4001,297,588,15114
432,4017,284,591,15108
433,4072,279,575,15074
434,4087,282,570,15061
435,4099,293,564,15044
436,4149,281,566,15004
437,4149,270,563,15018
438,4155,258,587,15000
439,4168,262,590,14980
440,4166,277,580,14977
441,4168,275,603,14954
442,4165,285,612,14938
443,4180,280,619,14921
444,4163,305,632,14900
445,4151,334,609,14906
446,4146,324,623,14907
447,4139,321,629,14911
448,4132,321,630,14917
449,4130,340,611,14919
450,4142,312,629,14917
451,4145,313,622,14920
452,4143,313,631,14913
453,4127,323,645,14905
454,4142,315,638,14905
455,4164,334,632,14870
456,4136,345,644,14875
457,4149,342,645,14864
458,4172,304,671,14853
459,4136,336,660,14868
460,4146,313,673,14868
461,4140,301,695,14864
462,4136,320,676,14868
463,4160,314,672,14854
464,4150,311,675,14864
465,4154,332,653,14861
466,4164,309,657,14870
467,4169,324,655,14852
468,4134,344,655,14867
469,4116,353,655,14876
470,4106,338,673,14883
471,4122,322,675,14881
472,4106,336,664,14894
473,4096,351,667,14886
474,4064,344,701,14891
475,4045,347,717,14891
476,4018,356,729,14897
477,3989,392,719,14900
478,3989,374,730,14907
479,3998,359,711,14932
480,4004,353,711,14932
481,3988,367,711,14934
482,3962,370,709,14959
483,3947,365,705,14983
484,3933,363,718,14986
485,3926,377,716,14981
486,3904,383,714,14999
487,3887,371,724,15018
488,3882,345,750,15023
489,3867,356,731,15046
490,3864,355,734,15047
491,3853,347,732,15068
492,3859,327,738,15076
493,3851,322,721,15106
