Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19968,12,20,0
2,19948,27,21,4
3,19935,31,27,7
4,19918,37,36,9
5,19897,48,40,15
6,19871,60,50,19
7,19844,71,59,26
8,19807,91,69,33
9,19762,109,84,45
10,19696,149,99,56
11,19627,173,129,71
12,19544,215,156,85
13,19439,260,195,106
14,19303,323,245,129
15,19146,390,306,158
16,18906,527,368,199
17,18686,600,463,251
18,18379,731,583,307
19,18004,892,731,373
20,17575,1060,891,474
21,17080,1261,1079,580
22,16486,1495,1279,740
23,15775,1755,1554,916
24,14931,2138,1833,1098
25,13976,2487,2184,1353
26,12923,2875,2559,1643
27,11785,3238,3004,1973
28,10601,3559,3468,2372
29,9375,3764,4036,2825
30,8188,3896,4536,3380
31,6984,4043,4985,3988
32,5855,4044,5425,4676
33,4852,3954,5830,5364
34,3992,3679,6202,6127
35,3245,3352,6447,6956
36,2616,3076,6529,7779
37,2084,2727,6552,8637
38,1649,2377,6493,9481
39,1337,2049,6322,10292
40,1122,1711,6103,11064
41,949,1442,5784,11825
42,810,1234,5440,12516
43,729,1027,5025,13219
44,635,863,4623,13879
45,603,688,4271,14438
46,570,556,3908,14966
47,543,457,3530,15470
48,533,386,3220,15861
49,539,333,2902,16226
50,531,290,2594,16585
51,557,246,2297,16900
52,573,223,2032,17172
53,599,186,1795,17420
54,632,160,1599,17609
55,669,144,1433,17754
56,710,126,1277,17887
57,739,124,1138,17999
58,784,111,1025,18080
59,819,111,903,18167
60,886,92,803,18219
61,930,90,713,18267
62,990,82,657,18271
63,1043,79,590,18288
64,1098,69,503,18330
65,1151,71,459,18319
66,1200,70,423,18307
67,1250,61,376,18313
68,1301,51,358,18290
69,1344,52,317,18287
70,1391,51,293,18265
71,1441,46,274,18239
72,1500,43,255,18202
73,1553,37,228,18182
74,1618,38,190,18154
75,1676,42,176,18106
76,1713,47,160,18080
77,1760,51,146,18043
78,1797,58,134,18011
79,1857,50,119,17974
80,1933,40,116,17911
81,1979,34,112,17875
82,2034,31,105,17830
83,2082,31,104,17783
84,2146,29,95,17730
85,2192,31,85,17692
86,2258,30,77,17635
87,2307,32,75,17586
88,2367,33,74,17526
89,2412,26,71,17491
90,2467,25,70,17438
91,2528,19,67,17386
92,2576,18,69,17337
93,2622,21,68,17289
94,2669,22,59,17250
95,2723,21,60,17196
96,2775,27,57,17141
97,2828,25,54,17093
98,2898,21,56,17025
99,2952,22,48,16978
100,3011,22,44,16923
101,3077,17,44,16862
102,3130,15,42,16813
103,3181,14,43,16762
104,3215,15,41,16729
105,3263,13,40,16684
106,3308,14,43,16635
107,3362,17,38,16583
108,3410,13,36,16541
109,3446,14,37,16503
110,3490,14,35,16461
111,3526,20,36,16418
112,3571,17,41,16371
113,3608,22,39,16331
114,3649,18,42,16291
115,3694,15,47,16244
116,3727,16,48,16209
