Iteration,CountS,CountE,CountI,CountR
0,19980,0,20,0
1,19967,13,20,0
2,19957,20,19,4
3,19941,31,22,6
4,19926,39,25,10
5,19913,46,30,11
6,19890,61,36,13
7,19867,67,47,19
8,19835,82,59,24
9,19796,104,69,31
10,19738,134,90,38
11,19676,150,122,52
12,19599,186,146,69
13,19489,251,167,93
14,19381,299,207,113
15,19247,352,259,142
16,19085,422,311,182
17,18859,550,365,226
18,18600,654,483,263
19,18297,757,620,326
20,17889,947,748,416
21,17470,1096,930,504
22,16899,1336,1118,647
23,16250,1613,1357,780
24,15493,1942,1600,965
25,14654,2247,1936,1163
26,13723,2564,2314,1399
27,12599,2950,2774,1677
28,11452,3218,3291,2039
29,10232,3478,3821,2469
30,8881,3884,4262,2973
31,7648,4002,4829,3521
32,6473,4020,5315,4192
33,5391,3940,5804,4865
34,4400,3820,6186,5594
35,3577,3592,6372,6459
36,2872,3315,6513,7300
37,2314,2970,6573,8143
38,1837,2613,6569,8981
39,1520,2230,6380,9870
40,1248,1913,6118,10721
41,1018,1593,5835,11554
42,873,1322,5491,12314
43,762,1075,5152,13011
44,675,903,4778,13644
45,617,767,4372,14244
46,579,622,4029,14770
47,558,531,3666,15245
48,536,439,3321,15704
49,534,378,3000,16088
50,522,323,2711,16444
51,531,272,2436,16761
52,555,237,2194,17014
53,583,199,1991,17227
54,597,189,1773,17441
55,613,171,1589,17627
56,650,143,1420,17787
57,696,124,1272,17908
58,721,117,1150,18012
59,756,108,1003,18133
60,793,104,878,18225
61,828,97,773,18302
62,876,93,690,18341
63,922,82,633,18363
64,971,89,546,18394
65,1016,80,505,18399
66,1062,79,463,18396
67,1111,67,417,18405
68,1167,60,384,18389
69,1206,66,354,18374
70,1261,58,332,18349
71,1307,55,296,18342
72,1359,51,280,18310
73,1422,40,264,18274
74,1470,39,235,18256
75,1529,39,203,18229
76,1572,40,177,18211
77,1628,42,156,18174
78,1687,37,144,18132
79,1744,35,131,18090
80,1795,25,121,18059
81,1852,20,116,18012
82,1907,17,104,17972
83,1962,13,98,17927
84,2018,17,84,17881
85,2070,17,73,17840
86,2130,15,67,17788
87,2195,18,64,17723
88,2252,20,59,17669
89,2300,15,50,17635
90,2361,18,47,17574
91,2422,20,44,17514
92,2479,17,41,17463
93,2524,10,40,17426
94,2591,13,34,17362
95,2639,16,31,17314
96,2692,14,29,17265
97,2742,16,28,17214
98,2799,12,30,17159
99,2848,12,29,17111
100,2888,14,30,17068
101,2930,13,28,17029
102,2979,12,31,16978
103,3029,11,28,16932
104,3083,13,25,16879
105,3125,14,22,16839
106,3185,9,23,16783
107,3249,9,23,16719
108,3297,10,19,16674
109,3344,9,23,16624
110,3401,8,24,16567
111,3444,11,20,16525
112,3497,8,22,16473
113,3548,12,21,16419
114,3605,11,21,16363
115,3641,11,23,16325
